title,url,event_id,description
DANC 491R 1 3100,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1321090226,1321090226,"Thursday, January 22, 2026, 4 - 5:15pm Woodruff PE Center - Dance Studio"
DANC 491R 1 3100,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1321090217,1321090217,"Tuesday, January 20, 2026, 4 - 5:15pm Woodruff PE Center - Dance Studio"
PE 191 1 3921,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1338253162,1338253162,"Wednesday, January 21, 2026, 4 - 5:15pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
Align & Flow Yoga (Stacy),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1346500499,1346500499,"Thursday, January 22, 2026, 4:30 - 5:20pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
MTEN Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1342664840,1342664840,"Tuesday, January 20, 2026, 4:30 - 6:30pm Woodruff PE Center All Outdoor Tennis courts, Woodruff PE Center All Indoor Tennis courts"
PE 296 1 4026,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1337687444,1337687444,"Wednesday, January 21, 2026, 4 - 5:15pm Woodruff PE Center Large class room"
MTEN Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1342664842,1342664842,"Thursday, January 22, 2026, 4:30 - 6:30pm Woodruff PE Center All Outdoor Tennis courts, Woodruff PE Center All Indoor Tennis courts"
MTEN Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1342664714,1342664714,"Tuesday, January 20, 2026, 4:30 - 6:30pm Woodruff PE Center All Outdoor Tennis courts, Woodruff PE Center All Indoor Tennis courts"
WTEN Cap Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1350765549,1350765549,"Wednesday, January 21, 2026, 4:30 - 6pm Woodruff PE Center Indoor Tennis court #7 (roof), Woodruff PE Center Indoor Tennis court #8 (roof), Woodruff PE Center Indoor Tennis court #9 (roof), Woodruff PE Center Indoor Tennis court #10 (roof), Woodruff PE Center Indoor Tennis Court  #11,…"
MTEN Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1342664716,1342664716,"Thursday, January 22, 2026, 4:30 - 6:30pm Woodruff PE Center All Outdoor Tennis courts, Woodruff PE Center All Indoor Tennis courts"
Vinyasa Flow (Maggie),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1346500495,1346500495,"Tuesday, January 20, 2026, 5:30 - 6:20pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
Lift & Burn (Morgan),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1346501642,1346501642,"Wednesday, January 21, 2026, 4:30 - 5:20pm Woodruff PE Center Aerobics Room"
Pop-Up Classes,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1346749472,1346749472,"Thursday, January 22, 2026, 5:30 - 6:30pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
CS Men's Soccer,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1343070547,1343070547,"Tuesday, January 20, 2026, 5:30 - 7pm Woodruff PE Center Candler Field #3, Woodruff PE Center Candler Field #4"
EDC Rehearsals,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1353014088,1353014088,"Wednesday, January 21, 2026, 5:30 - 9:15pm Woodruff PE Center - Dance Studio"
CS Men's Soccer,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1342979774,1342979774,"Thursday, January 22, 2026, 5:30 - 7pm Woodruff PE Center Candler Field #3, Woodruff PE Center Candler Field #4"
Total Body Burn (Amanda),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1346478508,1346478508,"Tuesday, January 20, 2026, 5:30 - 6:20pm Woodruff PE Center Aerobics Room"
Barre Sculpt (Avery),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1346501643,1346501643,"Wednesday, January 21, 2026, 5:30 - 6:20pm Woodruff PE Center Aerobics Room"
PM Pedal (Lauren),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1346500850,1346500850,"Thursday, January 22, 2026, 5:30 - 6:20pm Woodruff PE Center Cycling Studio"
CS Emory Ultimate,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1343070548,1343070548,"Tuesday, January 20, 2026, 6:30 - 9:30pm Woodruff  PE Center Candler Field #1, Woodruff PE Center Candler Field #2"
